Quiz_round,1,RESULT:,Steal2Goodness,Incorrect,,,,,,,,,
61,339676,1,67,4010,blue,FALSE,left,67,81,right,orange,687,0
62,342881,0,0,4010,blue,TRUE,right,12,14,left,orange,1013,0
63,346411,1,78,3932,blue,FALSE,left,78,90,right,orange,419,0
64,349347,0,0,3932,blue,FALSE,right,46,53,right,blue,617,0
65,352479,0,0,3932,blue,FALSE,left,30,42,left,blue,434,0
66,355428,0,0,3932,blue,FALSE,left,36,65,left,blue,614,0
67,358556,0,0,3932,blue,FALSE,right,49,49,right,blue,506,0
68,361577,0,0,3932,blue,FALSE,left,44,10,left,blue,481,0
69,364573,0,0,3932,blue,FALSE,right,70,64,right,blue,865,0
70,367952,0,0,3932,blue,FALSE,left,68,95,left,blue,1230,0
71,371699,0,0,3932,blue,FALSE,right,38,46,right,blue,852,0
72,375067,0,0,3932,blue,FALSE,left,18,24,left,blue,524,0
73,378105,0,0,3932,blue,FALSE,right,82,78,right,blue,1063,0
74,381684,0,0,3932,blue,FALSE,left,59,54,left,blue,811,0
75,385009,0,0,3932,blue,FALSE,right,36,33,right,blue,935,0
76,388459,1,56,3876,blue,TRUE,right,49,56,right,blue,487,0
77,391464,1,26,3850,blue,FALSE,right,26,83,left,orange,1227,0
78,395207,0,0,3850,blue,FALSE,right,38,81,right,blue,1019,0
79,398739,0,0,3850,blue,FALSE,left,12,3,left,blue,787,0
80,402039,0,0,3850,blue,FALSE,right,62,38,right,blue,1017,0
81,405573,0,0,3850,blue,FALSE,right,43,50,right,blue,879,0
82,408969,0,0,3850,blue,FALSE,left,50,47,left,blue,789,0
83,412274,1,35,3815,blue,TRUE,right,41,35,right,blue,1123,0
84,415914,1,9,3806,blue,FALSE,right,9,62,left,orange,849,0
85,419279,0,0,3806,blue,FALSE,right,60,58,right,blue,1298,0
86,423092,0,0,3806,blue,FALSE,right,88,31,right,blue,789,0
87,426399,0,0,3806,blue,FALSE,right,56,44,right,blue,742,0
88,429655,1,15,3791,blue,TRUE,right,31,15,right,blue,487,0
89,432658,0,0,3791,blue,FALSE,right,90,31,right,blue,793,0
90,435964,0,0,3791,blue,FALSE,right,80,76,right,blue,641,0
91,439121,0,0,3791,blue,FALSE,left,78,4,left,blue,578,0
92,442215,0,0,3791,blue,FALSE,left,60,28,left,blue,570,0
93,445298,1,99,3692,blue,TRUE,left,56,99,left,blue,566,0
94,452382,0,0,3692,blue,FALSE,right,31,45,right,blue,1637,0
95,456532,0,0,3692,blue,FALSE,right,55,16,right,blue,666,0
96,459713,1,89,3603,blue,TRUE,left,12,89,left,blue,542,0
97,462773,0,0,3603,blue,FALSE,right,49,4,right,blue,854,0
98,466141,0,0,3603,blue,FALSE,left,69,12,left,blue,595,0
99,469255,1,26,3577,blue,TRUE,left,49,26,left,blue,455,0
100,472228,1,75,3502,blue,FALSE,left,75,76,right,orange,944,0
101,475689,0,0,3502,blue,FALSE,right,22,90,right,blue,648,0
102,478851,1,23,3479,blue,TRUE,right,26,23,right,blue,892,0
103,482258,0,0,3479,blue,FALSE,left,11,68,left,blue,596,0
104,485368,1,82,3397,blue,TRUE,left,71,82,left,blue,502,0
105,488387,1,86,3311,blue,FALSE,right,86,95,left,orange,702,0
106,491607,1,79,3232,blue,FALSE,left,79,88,right,orange,994,0
107,495118,0,0,3232,blue,FALSE,left,75,40,left,blue,885,0
108,498518,1,11,3221,blue,FALSE,left,11,94,right,orange,1168,0
109,502202,1,44,3177,blue,TRUE,left,53,44,left,blue,676,0
110,505393,0,0,3177,blue,FALSE,right,85,17,right,blue,507,0
111,508415,1,32,3145,blue,TRUE,right,85,32,right,blue,592,0
112,511524,0,0,3145,blue,FALSE,right,38,68,right,blue,531,0
113,514569,0,0,3145,blue,FALSE,right,28,93,right,blue,449,0
114,517533,0,0,3145,blue,FALSE,right,13,95,right,blue,732,0
115,520781,1,69,3076,blue,FALSE,right,69,60,left,orange,1035,0
116,524334,1,95,2981,blue,TRUE,left,56,95,left,blue,768,0
117,527619,0,0,2981,blue,FALSE,left,2,41,left,blue,1074,0
118,531207,0,0,2981,blue,FALSE,right,42,5,right,blue,656,0
119,534377,0,0,2981,blue,FALSE,left,44,30,left,blue,712,0
120,537602,0,0,2981,blue,FALSE,right,79,4,right,blue,704,0
121,540820,0,0,2981,blue,FALSE,right,83,87,right,blue,899,0
122,544232,0,0,2981,blue,FALSE,left,59,44,left,blue,677,0
123,547424,1,10,2971,blue,TRUE,right,15,10,right,blue,468,0
124,550408,0,0,2971,blue,FALSE,right,60,15,right,blue,741,0
125,553665,0,0,2971,blue,FALSE,left,73,25,left,blue,522,0
126,556701,0,0,2971,blue,FALSE,left,43,23,left,blue,513,0
127,559728,0,0,2971,blue,FALSE,right,22,87,right,blue,508,0
128,562751,1,77,2894,blue,TRUE,right,27,77,right,blue,540,0
129,565809,0,0,2894,blue,FALSE,left,99,35,left,blue,716,0
130,569039,1,39,2855,blue,TRUE,left,49,39,left,blue,569,0
131,572127,0,0,2855,blue,FALSE,right,83,60,right,blue,529,0
132,575173,1,54,2801,blue,TRUE,right,61,54,right,blue,511,0
133,578201,0,0,2801,blue,FALSE,left,82,34,left,blue,486,0
134,581201,0,0,2801,blue,FALSE,right,96,86,right,blue,468,0
135,584184,0,0,2801,blue,FALSE,right,65,27,right,blue,478,0
136,587182,0,0,2801,blue,FALSE,left,63,93,left,blue,672,0
137,590369,0,0,2801,blue,FALSE,right,65,40,right,blue,1024,0
138,593905,0,0,2801,blue,FALSE,left,7,69,left,blue,403,0
139,596823,1,28,2773,blue,TRUE,right,94,28,right,blue,807,0
140,600147,0,0,2773,blue,FALSE,right,90,4,right,blue,789,0
